GO,pos_hits,term_size,p,q,direction,name,namespace,compartment,label
GO:0015979,27,59,0.0014820488027560137,0.43632719210539284,Negative,GO:0015979,,other,GO:0015979
GO:0009522,8,11,0.002320889319709536,0.43632719210539284,Negative,GO:0009522,,other,GO:0009522
GO:0042803,4,4,0.005840761351558538,0.6578363601218693,Negative,GO:0042803,,other,GO:0042803
GO:0031676,34,89,0.01417084236964266,0.6578363601218693,Negative,GO:0031676,,other,GO:0031676
GO:0070181,3,3,0.021264568273937672,0.6578363601218693,Negative,GO:0070181,,other,GO:0070181
GO:0022627,5,8,0.041595414117275555,0.6578363601218693,Negative,GO:0022627,,other,GO:0022627
GO:0050661,7,14,0.0630097276459262,0.6578363601218693,Negative,GO:0050661,,other,GO:0050661
GO:0009538,3,4,0.06753598904107508,0.6578363601218693,Negative,GO:0009538,,other,GO:0009538
GO:0006782,5,9,0.07283710606475978,0.6578363601218693,Negative,GO:0006782,,other,GO:0006782
GO:0003746,4,7,0.09833860762430263,0.6578363601218693,Negative,GO:0003746,,other,GO:0003746
GO:0030089,6,13,0.12146644531892017,0.6578363601218693,Negative,GO:0030089,,other,GO:0030089
GO:0016491,7,16,0.1251397187872275,0.6578363601218693,Negative,GO:0016491,,other,GO:0016491
GO:0044205,3,5,0.13461811470018695,0.6578363601218693,Negative,GO:0044205,,other,GO:0044205
GO:0006526,4,8,0.15508180113132972,0.6578363601218693,Negative,GO:0006526,,other,GO:0006526
GO:0006412,21,63,0.18779310776811914,0.6578363601218693,Negative,GO:0006412,,other,GO:0006412
GO:0051287,6,15,0.2147736154181226,0.6578363601218693,Negative,GO:0051287,,other,GO:0051287
GO:0032790,3,6,0.21561111020169993,0.6578363601218693,Negative,GO:0032790,,other,GO:0032790
GO:0006633,3,6,0.21561111020169993,0.6578363601218693,Negative,GO:0006633,,other,GO:0006633
GO:0051117,3,6,0.21561111020169993,0.6578363601218693,Negative,GO:0051117,,other,GO:0051117
GO:0009368,3,6,0.21561111020169993,0.6578363601218693,Negative,GO:0009368,,other,GO:0009368
GO:0006515,3,6,0.21561111020169993,0.6578363601218693,Negative,GO:0006515,,other,GO:0006515
GO:0006006,3,6,0.21561111020169993,0.6578363601218693,Negative,GO:0006006,,other,GO:0006006
GO:0045156,4,9,0.22087755718458565,0.6578363601218693,Negative,GO:0045156,,other,GO:0045156
GO:0016020,4,9,0.22087755718458565,0.6578363601218693,Negative,GO:0016020,,other,GO:0016020
GO:0003735,19,59,0.25863450369008617,0.6578363601218693,Negative,GO:0003735,,other,GO:0003735
GO:0009523,5,13,0.2803624324482401,0.6578363601218693,Negative,GO:0009523,,other,GO:0009523
GO:0045259,4,10,0.2923566675813123,0.6578363601218693,Negative,GO:0045259,,other,GO:0045259
GO:0046933,4,10,0.2923566675813123,0.6578363601218693,Negative,GO:0046933,,other,GO:0046933
GO:0009772,3,7,0.30356548713474796,0.6578363601218693,Negative,GO:0009772,,other,GO:0009772
GO:0004252,3,7,0.30356548713474796,0.6578363601218693,Negative,GO:0004252,,other,GO:0004252
GO:0016829,3,7,0.30356548713474796,0.6578363601218693,Negative,GO:0016829,,other,GO:0016829
GO:1990904,8,24,0.3414428698551808,0.6578363601218693,Negative,GO:1990904,,other,GO:1990904
GO:0005840,8,24,0.3414428698551808,0.6578363601218693,Negative,GO:0005840,,other,GO:0005840
GO:0005524,32,108,0.36197755860211983,0.6578363601218693,Negative,GO:0005524,,other,GO:0005524
GO:0015995,4,11,0.36626542209183294,0.6578363601218693,Negative,GO:0015995,,other,GO:0015995
GO:0003729,3,8,0.39265569873679884,0.6578363601218693,Negative,GO:0003729,,other,GO:0003729
GO:0003723,3,8,0.39265569873679884,0.6578363601218693,Negative,GO:0003723,,other,GO:0003723
GO:0045158,3,8,0.39265569873679884,0.6578363601218693,Negative,GO:0045158,,other,GO:0045158
GO:0005737,39,136,0.43959425161899485,0.6578363601218693,Negative,GO:0005737,,other,GO:0005737
GO:0016168,4,12,0.43977383751542165,0.6578363601218693,Negative,GO:0016168,,other,GO:0016168
GO:0051537,4,12,0.43977383751542165,0.6578363601218693,Negative,GO:0051537,,other,GO:0051537
GO:0046872,26,90,0.4482752883393072,0.6578363601218693,Negative,GO:0046872,,other,GO:0046872
GO:0004176,3,9,0.4785447695129054,0.6578363601218693,Negative,GO:0004176,,other,GO:0004176
GO:0050660,3,9,0.4785447695129054,0.6578363601218693,Negative,GO:0050660,,other,GO:0050660
GO:0000976,3,10,0.558339670340731,0.7456851169683277,Negative,GO:0000976,,other,GO:0000976
GO:0009055,4,14,0.5771602851675239,0.7456851169683277,Negative,GO:0009055,,other,GO:0009055
GO:0022625,3,11,0.6303675134340677,0.7500575476304097,Negative,GO:0022625,,other,GO:0022625
GO:0003924,3,12,0.6938987387402832,0.813432032935244,Negative,GO:0003924,,other,GO:0003924
GO:0042802,3,12,0.6938987387402832,0.813432032935244,Negative,GO:0042802,,other,GO:0042802
GO:0005886,12,47,0.697788279514616,0.813432032935244,Negative,GO:0005886,,other,GO:0005886
GO:0005525,6,24,0.6993623056056253,0.813432032935244,Negative,GO:0005525,,other,GO:0005525
GO:0005506,4,17,0.7423597923390114,0.8307359580936555,Negative,GO:0005506,,other,GO:0005506
GO:0005829,23,93,0.8008138872384012,0.8685282902905347,Negative,GO:0005829,,other,GO:0005829
GO:0016887,10,43,0.8061605673175443,0.8685282902905347,Negative,GO:0016887,,other,GO:0016887
GO:0019843,6,28,0.8386139171435242,0.8883128316299859,Negative,GO:0019843,,other,GO:0019843
GO:0000287,7,33,0.8591268121305828,0.8883128316299859,Negative,GO:0000287,,other,GO:0000287
GO:0003677,6,29,0.8639060648036987,0.8899415900443581,Negative,GO:0003677,,other,GO:0003677
GO:0008270,5,28,0.9279795055428066,0.9342520706003419,Negative,GO:0008270,,other,GO:0008270
GO:0051539,7,37,0.9292826446928932,0.9342520706003419,Negative,GO:0051539,,other,GO:0051539
GO:0009507,4,25,0.9495733583446839,0.9521055539669364,Negative,GO:0009507,,other,GO:0009507
