gene_family,direction,effect_size,diaz_rate_present,diaz_rate_absent,n_genomes_with_feature,chi2,p_value,importance
GF_01961,Positive,0.8035650623885918,0.8823529411764706,0.07878787878787878,119,269.4321388262051,1.5089421625809978e-60,0.2383567911174483
GF_01199,Positive,0.6867502726281353,0.8928571428571429,0.20610687022900764,56,108.5744345208209,2.0115256782672682e-25,0.12282567745205124
GF_00810,Negative,-0.0001105216622457883,0.2916666666666667,0.2917771883289125,72,0.0,1.0,0.11087908161520905
GF_00387,Positive,0.7515115556308979,0.8725490196078431,0.12103746397694524,102,211.82965023481958,5.478933528574987e-48,0.1080930789629805
GF_02390,Negative,-0.3475836431226766,0.1524163568773234,0.5,269,61.38002403744093,4.705605773282912e-15,0.09800922519928494
GF_00943,Negative,-0.20267153565250817,0.12790697674418605,0.3305785123966942,86,12.857556021662116,0.00033611928501198375,0.09768698751960485
GF_01658,Positive,0.6064006650041563,0.8333333333333334,0.22693266832917705,48,73.38099897877262,1.068901500804581e-17,0.09686883122170946
GF_01071,Positive,0.3007653555512498,0.5576923076923077,0.25692695214105793,52,18.698631271030006,1.5309233969989557e-05,0.09647975857035317
GF_02403,Positive,0.6472098596371105,0.7559055118110236,0.10869565217391304,127,181.50924255525825,2.2693363478611261e-41,0.09508234210657764
GF_01253,Positive,0.15561095149569037,0.4262295081967213,0.2706185567010309,61,5.447057061132195,0.019601319482074737,0.0934047693981684
GF_02459,Positive,0.306796833064949,0.5432098765432098,0.23641304347826086,81,28.773552364471524,8.135451722656583e-08,0.09078599630685313
GF_02295,Negative,-0.07346979464345052,0.23170731707317074,0.30517711171662126,82,1.4133351090120396,0.23450353426214232,0.0879602250624378
GF_00876,Positive,0.6484598285169896,0.8723404255319149,0.22388059701492538,47,82.52295017376316,1.0445029651992083e-19,0.08445620442009848
GF_00680,Negative,-0.05863631459704388,0.2391304347826087,0.2977667493796526,46,0.43251707273226986,0.5107564366833608,0.08141861143449249
GF_01245,Positive,0.6611046646553724,0.7482014388489209,0.08709677419354839,139,199.79866496264643,2.3108290420239722e-45,0.0811910311886333
GF_01635,Positive,0.577856106157993,0.7692307692307693,0.19137466307277629,78,101.37145665527126,7.62547237215829e-24,0.07846213046923876
GF_01964,Positive,0.6266706622715014,0.7872340425531915,0.16056338028169015,94,138.23172923743982,6.485010460257628e-32,0.07811927961913033
GF_00609,Negative,-0.1528566541224769,0.2648648648648649,0.4177215189873418,370,6.639991494077503,0.00997144105233254,0.07743455519472786
GF_00066,Positive,0.5724456773000463,0.6857142857142857,0.11326860841423948,140,150.03508527401993,1.7032991583039794e-34,0.07733996006682896
GF_00790,Negative,-0.0194600453246625,0.27450980392156865,0.29396984924623115,51,0.015436308298682491,0.9011229238946556,0.0765874615335774
GF_01600,Positive,0.1259836782279219,0.3972602739726027,0.2712765957446808,73,4.105659710460815,0.04273991405723897,0.07376035590949216
GF_01924,Negative,-0.17616756779769252,0.18072289156626506,0.3568904593639576,166,14.873288302019525,0.00011497966197377632,0.07089455735871504
GF_00624,Positive,0.2634313601750179,0.3920863309352518,0.1286549707602339,278,34.293460395688086,4.739717626566366e-09,0.07074995523589336
GF_00333,Positive,0.45926824337982614,0.49019607843137253,0.030927835051546393,255,110.25475183240783,8.617331324506654e-26,0.06785141279076594
GF_01712,Positive,0.08153993304638929,0.36585365853658536,0.28431372549019607,41,0.836628326080634,0.36036285510361254,0.06763175802268319
GF_00183,Negative,-0.09100895724184552,0.21311475409836064,0.30412371134020616,61,1.6954146461618982,0.1928887348231803,0.06473495940447009
GF_02166,Positive,0.7732269503546099,0.8583333333333333,0.0851063829787234,120,250.6846264790553,1.841559412788546e-56,0.0645587689429175
GF_01104,Negative,-0.04542067218123558,0.2535211267605634,0.29894179894179895,71,0.3971982731764348,0.5285397439247457,0.06436400510172709
GF_00099,Positive,0.2681122448979592,0.5306122448979592,0.2625,49,13.915991688209921,0.00019116507591376744,0.06317639041506583
GF_00656,Positive,0.3807251908396947,0.625,0.24427480916030533,56,32.56582030158238,1.1522337926246723e-08,0.06257204897256864
GF_01818,Positive,0.17670846964740095,0.44642857142857145,0.2697201017811705,56,6.576529916314195,0.010333214553017174,0.0622590124631438
GF_01672,Positive,0.4122383252818036,0.6296296296296297,0.21739130434782608,81,52.62132082269409,4.0447433340931785e-13,0.06149891232224053
GF_02439,Negative,-0.09178288729739917,0.21428571428571427,0.30606860158311344,70,1.9851426214632293,0.15884968898609028,0.061395316012057756
GF_01960,Positive,0.42363819095477384,0.5276381909547738,0.104,199,94.19534585899396,2.8587205600919336e-22,0.060398330313344024
GF_00542,Positive,0.5198268398268399,0.696969696969697,0.17714285714285713,99,98.41799486067993,3.3876680934961095e-23,0.060205170660295675
GF_02217,Positive,0.47511937672782106,0.5838150289017341,0.10869565217391304,173,113.88597681308413,1.3802131758387936e-26,0.0596640945526356
GF_00393,Positive,0.11844863731656186,0.39622641509433965,0.2777777777777778,53,2.626455542604205,0.10509609100508074,0.05956219415964451
GF_01663,Positive,0.10775510204081629,0.3877551020408163,0.28,49,1.9591413662000878,0.16160517757504736,0.058965097522761044
GF_02514,Positive,0.04951370468611849,0.3333333333333333,0.2838196286472148,72,0.49764801321822594,0.48053539173502235,0.05864865063094566
GF_01146,Positive,0.16237164888729075,0.3662551440329218,0.20388349514563106,243,13.449723204778266,0.00024504233197168495,0.058562702609146124
GF_00454,Positive,0.5080246913580246,0.75,0.2419753086419753,44,47.142658333202675,6.600341832467108e-12,0.05852974171734482
GF_02398,Negative,-0.1063486370157819,0.1951219512195122,0.3014705882352941,41,1.5569883331285275,0.21210673158925886,0.05852490541288061
GF_00701,Negative,-0.07950741272118603,0.21951219512195122,0.29901960784313725,41,0.7874471207801754,0.3748731780687766,0.05839587244432946
GF_01193,Negative,-0.5198177676537585,0.28018223234624146,0.8,439,10.39353045342315,0.001264576027610634,0.05831831283476103
GF_00506,Positive,0.23316708229426436,0.5,0.26683291770573564,48,10.178759426661495,0.0014206773498869746,0.05790789171483282
GF_00402,Positive,0.49878311522502394,0.5228215767634855,0.02403846153846154,241,132.01326499128385,1.4862276078135299e-30,0.056974782595815336
GF_00355,Positive,0.14627139364303177,0.425,0.2787286063569682,40,3.098014734619813,0.07838783221694828,0.05638483219101367
GF_02373,Positive,0.6052972972972972,0.7972972972972973,0.192,74,106.67459268825215,5.2460949513908225e-25,0.056210331434137166
GF_00658,Positive,0.4651741293532338,0.5,0.03482587064676617,248,114.01876991485486,1.2908082169649982e-26,0.05596040259166383
GF_00630,Positive,0.40906193078324227,0.42295081967213116,0.013888888888888888,305,77.24426855116467,1.5106925599784193e-18,0.055355581062478953
GF_01087,Positive,0.25959725792630683,0.5166666666666667,0.2570694087403599,60,15.7200658891291,7.344093596139357e-05,0.05503954165304023
GF_02205,Positive,0.5149791156560565,0.6564885496183206,0.14150943396226415,131,116.59720126020693,3.517121545014674e-27,0.054932973893462876
GF_01906,Positive,0.5229145728643216,0.5829145728643216,0.06,199,144.10344522181217,3.372672313356188e-33,0.0546870418290209
GF_00397,Positive,0.7504812563323202,0.8416666666666667,0.0911854103343465,120,236.04694244016736,2.8620539225876813e-53,0.05326311262975194
GF_00608,Positive,0.3502172323310535,0.4181184668989547,0.06790123456790123,287,59.78069588442134,1.0603834907038847e-14,0.052661912149288816
GF_00146,Positive,0.10838115734098519,0.3902439024390244,0.2818627450980392,41,1.6258420205491695,0.20227912145491792,0.052438074041199385
GF_00377,Positive,0.6710617283950617,0.776,0.10493827160493827,125,193.34067817972806,5.931515604655772e-44,0.05215899009742609
GF_00866,Positive,0.1259836782279219,0.3972602739726027,0.2712765957446808,73,4.105659710460815,0.04273991405723897,0.052109765579256895
GF_02136,Positive,0.6636413641364136,0.8888888888888888,0.22524752475247525,45,83.11781744629286,7.730574522146232e-20,0.0521067234679591
GF_02460,Positive,0.16599839615076184,0.4418604651162791,0.27586206896551724,43,4.412795616442969,0.03567033831456106,0.05196802179254026
