gene_family,total_genomes,diazotroph_count,diazotroph_pct,is_pure
GF_00000,119,38,0.31932773109243695,False
GF_00001,99,81,0.8181818181818182,False
GF_00002,53,52,0.9811320754716981,True
GF_00003,88,80,0.9090909090909091,True
GF_00004,41,40,0.975609756097561,True
GF_00005,44,44,1.0,True
GF_00006,46,45,0.9782608695652174,True
GF_00007,59,58,0.9830508474576272,True
GF_00008,69,67,0.9710144927536232,True
GF_00009,66,64,0.9696969696969697,True
GF_00010,86,82,0.9534883720930233,True
GF_00011,108,81,0.75,False
GF_00012,42,42,1.0,True
GF_00013,63,61,0.9682539682539683,True
GF_00014,47,46,0.9787234042553191,True
GF_00015,50,49,0.98,True
GF_00016,83,81,0.9759036144578314,True
GF_00017,64,61,0.953125,True
GF_00018,75,73,0.9733333333333334,True
GF_00019,40,40,1.0,True
GF_00020,77,75,0.974025974025974,True
GF_00021,51,50,0.9803921568627451,True
GF_00022,58,57,0.9827586206896551,True
GF_00023,47,44,0.9361702127659575,True
GF_00024,81,79,0.9753086419753086,True
GF_00025,49,48,0.9795918367346939,True
GF_00026,46,45,0.9782608695652174,True
GF_00027,78,76,0.9743589743589743,True
GF_00028,115,83,0.7217391304347827,False
GF_00029,44,43,0.9772727272727273,True
GF_00030,59,57,0.9661016949152542,True
GF_00031,48,47,0.9791666666666666,True
GF_00032,73,70,0.958904109589041,True
GF_00033,74,72,0.972972972972973,True
GF_00034,166,108,0.6506024096385542,False
GF_00035,64,62,0.96875,True
GF_00036,139,101,0.7266187050359713,False
GF_00037,59,58,0.9830508474576272,True
GF_00038,54,53,0.9814814814814815,True
GF_00039,66,64,0.9696969696969697,True
GF_00040,108,91,0.8425925925925926,False
GF_00041,80,78,0.975,True
GF_00042,54,54,1.0,True
GF_00043,84,82,0.9761904761904762,True
GF_00044,59,58,0.9830508474576272,True
GF_00045,59,58,0.9830508474576272,True
GF_00046,83,81,0.9759036144578314,True
GF_00047,47,45,0.9574468085106383,True
GF_00048,72,70,0.9722222222222222,True
GF_00049,88,84,0.9545454545454546,True
GF_00050,58,57,0.9827586206896551,True
GF_00051,87,83,0.9540229885057471,True
GF_00052,53,37,0.6981132075471698,False
GF_00053,52,52,1.0,True
GF_00054,82,80,0.975609756097561,True
GF_00055,67,65,0.9701492537313433,True
GF_00056,83,79,0.9518072289156626,True
GF_00057,66,63,0.9545454545454546,True
GF_00058,73,64,0.8767123287671232,False
GF_00059,62,60,0.967741935483871,True
GF_00060,71,69,0.971830985915493,True
GF_00061,41,40,0.975609756097561,True
GF_00062,58,57,0.9827586206896551,True
GF_00063,43,41,0.9534883720930233,True
GF_00064,41,39,0.9512195121951219,True
GF_00065,53,52,0.9811320754716981,True
GF_00066,140,96,0.6857142857142857,False
GF_00067,61,59,0.9672131147540983,True
GF_00068,56,54,0.9642857142857143,True
GF_00069,52,51,0.9807692307692307,True
GF_00070,43,42,0.9767441860465116,True
GF_00071,158,106,0.6708860759493671,False
GF_00072,84,81,0.9642857142857143,True
GF_00073,65,61,0.9384615384615385,True
GF_00074,105,89,0.8476190476190476,False
GF_00075,45,43,0.9555555555555556,True
GF_00076,56,55,0.9821428571428571,True
GF_00077,80,67,0.8375,False
GF_00078,41,40,0.975609756097561,True
GF_00079,291,127,0.436426116838488,False
GF_00080,84,82,0.9761904761904762,True
GF_00081,96,87,0.90625,True
GF_00082,56,54,0.9642857142857143,True
GF_00083,80,78,0.975,True
GF_00084,43,41,0.9534883720930233,True
GF_00085,59,58,0.9830508474576272,True
GF_00086,83,80,0.963855421686747,True
GF_00087,73,71,0.9726027397260274,True
GF_00088,56,54,0.9642857142857143,True
GF_00089,69,67,0.9710144927536232,True
GF_00090,70,68,0.9714285714285714,True
GF_00091,46,45,0.9782608695652174,True
GF_00092,41,37,0.9024390243902439,True
GF_00093,76,73,0.9605263157894737,True
GF_00094,68,66,0.9705882352941176,True
GF_00095,75,73,0.9733333333333334,True
GF_00096,76,72,0.9473684210526315,True
GF_00097,69,67,0.9710144927536232,True
GF_00098,85,81,0.9529411764705882,True
GF_00099,49,26,0.5306122448979592,False
GF_00100,70,68,0.9714285714285714,True
GF_00101,70,68,0.9714285714285714,True
GF_00102,42,41,0.9761904761904762,True
GF_00103,204,112,0.5490196078431373,False
GF_00104,289,127,0.43944636678200694,False
GF_00105,165,22,0.13333333333333333,False
GF_00106,40,5,0.125,False
GF_00107,41,5,0.12195121951219512,False
GF_00108,138,92,0.6666666666666666,False
GF_00109,43,2,0.046511627906976744,True
GF_00110,44,44,1.0,True
GF_00111,54,53,0.9814814814814815,True
GF_00112,168,107,0.6369047619047619,False
GF_00113,78,76,0.9743589743589743,True
GF_00114,445,130,0.29213483146067415,False
GF_00115,74,72,0.972972972972973,True
GF_00116,60,59,0.9833333333333333,True
GF_00117,87,83,0.9540229885057471,True
GF_00118,93,89,0.956989247311828,True
GF_00119,45,45,1.0,True
GF_00120,99,88,0.8888888888888888,False
GF_00121,56,55,0.9821428571428571,True
GF_00122,66,63,0.9545454545454546,True
GF_00123,145,100,0.6896551724137931,False
GF_00124,97,75,0.7731958762886598,False
GF_00125,88,84,0.9545454545454546,True
GF_00126,59,58,0.9830508474576272,True
GF_00127,51,50,0.9803921568627451,True
GF_00128,49,41,0.8367346938775511,False
GF_00129,71,69,0.971830985915493,True
GF_00130,56,55,0.9821428571428571,True
GF_00131,85,81,0.9529411764705882,True
GF_00132,54,53,0.9814814814814815,True
GF_00133,70,59,0.8428571428571429,False
GF_00134,63,3,0.047619047619047616,True
GF_00135,77,75,0.974025974025974,True
GF_00136,129,95,0.7364341085271318,False
GF_00137,119,102,0.8571428571428571,False
GF_00138,84,82,0.9761904761904762,True
GF_00139,79,62,0.7848101265822784,False
GF_00140,89,77,0.8651685393258427,False
GF_00141,86,84,0.9767441860465116,True
GF_00142,80,76,0.95,True
GF_00143,119,50,0.42016806722689076,False
GF_00144,87,84,0.9655172413793104,True
GF_00145,108,22,0.2037037037037037,False
GF_00146,41,16,0.3902439024390244,False
GF_00147,232,120,0.5172413793103449,False
GF_00148,122,39,0.319672131147541,False
GF_00149,139,100,0.7194244604316546,False
GF_00150,177,88,0.4971751412429379,False
GF_00151,63,62,0.9841269841269841,True
GF_00152,44,43,0.9772727272727273,True
GF_00153,78,76,0.9743589743589743,True
GF_00154,56,55,0.9821428571428571,True
GF_00155,98,89,0.9081632653061225,True
GF_00156,42,41,0.9761904761904762,True
GF_00157,44,43,0.9772727272727273,True
GF_00158,47,46,0.9787234042553191,True
GF_00159,43,42,0.9767441860465116,True
GF_00160,44,43,0.9772727272727273,True
GF_00161,71,69,0.971830985915493,True
GF_00162,70,68,0.9714285714285714,True
GF_00163,84,82,0.9761904761904762,True
GF_00164,78,76,0.9743589743589743,True
GF_00165,46,45,0.9782608695652174,True
GF_00166,49,48,0.9795918367346939,True
GF_00167,48,47,0.9791666666666666,True
GF_00168,47,46,0.9787234042553191,True
GF_00169,53,52,0.9811320754716981,True
GF_00170,41,6,0.14634146341463414,False
GF_00171,91,85,0.9340659340659341,True
GF_00172,82,49,0.5975609756097561,False
GF_00173,154,108,0.7012987012987013,False
GF_00174,108,19,0.17592592592592593,False
GF_00175,59,49,0.8305084745762712,False
GF_00176,108,72,0.6666666666666666,False
GF_00177,175,106,0.6057142857142858,False
GF_00178,217,110,0.5069124423963134,False
GF_00179,91,85,0.9340659340659341,True
GF_00180,103,102,0.9902912621359223,True
GF_00181,43,12,0.27906976744186046,False
GF_00182,43,13,0.3023255813953488,False
GF_00183,61,13,0.21311475409836064,False
GF_00184,134,88,0.6567164179104478,False
GF_00185,62,25,0.4032258064516129,False
GF_00186,74,50,0.6756756756756757,False
GF_00187,145,104,0.7172413793103448,False
GF_00188,86,82,0.9534883720930233,True
GF_00189,72,70,0.9722222222222222,True
GF_00190,56,55,0.9821428571428571,True
GF_00191,70,68,0.9714285714285714,True
GF_00192,40,39,0.975,True
GF_00193,43,42,0.9767441860465116,True
GF_00194,63,61,0.9682539682539683,True
GF_00195,64,63,0.984375,True
GF_00196,247,113,0.4574898785425101,False
GF_00197,51,50,0.9803921568627451,True
GF_00198,45,44,0.9777777777777777,True
GF_00199,72,64,0.8888888888888888,False
GF_00200,53,12,0.22641509433962265,False
GF_00201,59,14,0.23728813559322035,False
GF_00202,55,45,0.8181818181818182,False
GF_00203,63,62,0.9841269841269841,True
GF_00204,70,68,0.9714285714285714,True
GF_00205,45,43,0.9555555555555556,True
GF_00206,115,89,0.7739130434782608,False
GF_00207,448,131,0.2924107142857143,False
GF_00208,100,86,0.86,False
GF_00209,54,45,0.8333333333333334,False
GF_00210,130,32,0.24615384615384617,False
GF_00211,42,27,0.6428571428571429,False
GF_00212,126,102,0.8095238095238095,False
GF_00213,111,41,0.36936936936936937,False
GF_00214,44,43,0.9772727272727273,True
GF_00215,61,58,0.9508196721311475,True
GF_00216,40,21,0.525,False
GF_00217,97,85,0.8762886597938144,False
GF_00218,161,104,0.6459627329192547,False
GF_00219,45,4,0.08888888888888889,True
GF_00220,50,6,0.12,False
GF_00221,63,50,0.7936507936507936,False
GF_00222,79,76,0.9620253164556962,True
GF_00223,54,53,0.9814814814814815,True
GF_00224,242,122,0.5041322314049587,False
GF_00225,143,91,0.6363636363636364,False
GF_00226,72,70,0.9722222222222222,True
GF_00227,58,56,0.9655172413793104,True
GF_00228,78,76,0.9743589743589743,True
GF_00229,46,45,0.9782608695652174,True
GF_00230,77,75,0.974025974025974,True
GF_00231,47,10,0.2127659574468085,False
GF_00232,84,79,0.9404761904761905,True
GF_00233,41,41,1.0,True
GF_00234,74,72,0.972972972972973,True
GF_00235,71,69,0.971830985915493,True
GF_00236,44,43,0.9772727272727273,True
GF_00237,145,81,0.5586206896551724,False
GF_00238,138,94,0.6811594202898551,False
GF_00239,111,89,0.8018018018018018,False
GF_00240,95,85,0.8947368421052632,False
GF_00241,79,70,0.8860759493670886,False
GF_00242,47,46,0.9787234042553191,True
GF_00243,41,40,0.975609756097561,True
GF_00244,43,43,1.0,True
GF_00245,41,40,0.975609756097561,True
GF_00246,70,67,0.9571428571428572,True
GF_00247,47,46,0.9787234042553191,True
GF_00248,48,47,0.9791666666666666,True
GF_00249,47,46,0.9787234042553191,True
GF_00250,71,69,0.971830985915493,True
GF_00251,65,63,0.9692307692307692,True
GF_00252,66,65,0.9848484848484849,True
GF_00253,47,46,0.9787234042553191,True
GF_00254,50,49,0.98,True
GF_00255,53,52,0.9811320754716981,True
GF_00256,49,48,0.9795918367346939,True
GF_00257,41,40,0.975609756097561,True
GF_00258,52,51,0.9807692307692307,True
GF_00259,42,42,1.0,True
GF_00260,83,81,0.9759036144578314,True
GF_00261,51,51,1.0,True
GF_00262,48,47,0.9791666666666666,True
GF_00263,48,47,0.9791666666666666,True
GF_00264,54,53,0.9814814814814815,True
GF_00265,123,96,0.7804878048780488,False
GF_00266,57,51,0.8947368421052632,False
GF_00267,76,74,0.9736842105263158,True
GF_00268,60,59,0.9833333333333333,True
GF_00269,55,54,0.9818181818181818,True
GF_00270,70,68,0.9714285714285714,True
GF_00271,71,69,0.971830985915493,True
GF_00272,46,45,0.9782608695652174,True
GF_00273,44,43,0.9772727272727273,True
GF_00274,99,87,0.8787878787878788,False
GF_00275,49,49,1.0,True
GF_00276,50,49,0.98,True
GF_00277,48,47,0.9791666666666666,True
GF_00278,49,47,0.9591836734693877,True
GF_00279,44,43,0.9772727272727273,True
GF_00280,73,71,0.9726027397260274,True
GF_00281,76,74,0.9736842105263158,True
GF_00282,53,52,0.9811320754716981,True
GF_00283,58,57,0.9827586206896551,True
GF_00284,295,124,0.42033898305084744,False
GF_00285,51,49,0.9607843137254902,True
GF_00286,54,53,0.9814814814814815,True
GF_00287,93,86,0.9247311827956989,True
GF_00288,41,41,1.0,True
GF_00289,44,42,0.9545454545454546,True
GF_00290,55,54,0.9818181818181818,True
GF_00291,61,59,0.9672131147540983,True
GF_00292,41,1,0.024390243902439025,True
GF_00293,161,0,0.0,True
GF_00294,46,22,0.4782608695652174,False
GF_00295,61,56,0.9180327868852459,True
GF_00296,87,32,0.367816091954023,False
GF_00297,297,126,0.42424242424242425,False
GF_00298,147,0,0.0,True
GF_00299,72,0,0.0,True
GF_00300,46,0,0.0,True
GF_00301,53,0,0.0,True
GF_00302,89,0,0.0,True
GF_00303,103,0,0.0,True
GF_00304,69,0,0.0,True
GF_00305,64,0,0.0,True
GF_00306,71,0,0.0,True
GF_00307,41,0,0.0,True
GF_00308,52,0,0.0,True
GF_00309,43,0,0.0,True
GF_00310,44,0,0.0,True
GF_00311,42,0,0.0,True
GF_00312,57,0,0.0,True
GF_00313,101,0,0.0,True
GF_00314,52,0,0.0,True
GF_00315,55,0,0.0,True
GF_00316,40,0,0.0,True
GF_00317,69,0,0.0,True
GF_00318,153,2,0.013071895424836602,True
GF_00319,144,0,0.0,True
GF_00320,89,26,0.29213483146067415,False
GF_00321,83,0,0.0,True
GF_00322,45,0,0.0,True
GF_00323,92,0,0.0,True
