gene_family,n_members,n_genomes,n_diazotroph,n_non_diazo,n_genera,frac_diazotroph
GF_00000,119,119,38,81,37,0.31932773109243695
GF_00001,99,99,81,18,31,0.8181818181818182
GF_00002,53,53,52,1,12,0.9811320754716981
GF_00003,88,88,80,8,26,0.9090909090909091
GF_00004,41,41,40,1,11,0.975609756097561
GF_00005,44,44,44,0,9,1.0
GF_00006,46,46,45,1,9,0.9782608695652174
GF_00007,59,59,58,1,13,0.9830508474576272
GF_00008,69,69,67,2,16,0.9710144927536232
GF_00009,66,66,64,2,14,0.9696969696969697
GF_00010,86,86,82,4,21,0.9534883720930233
GF_00011,108,108,81,27,32,0.75
GF_00012,42,42,42,0,11,1.0
GF_00013,63,63,61,2,14,0.9682539682539683
GF_00014,47,47,46,1,9,0.9787234042553191
GF_00015,50,50,49,1,11,0.98
GF_00016,83,83,81,2,18,0.9759036144578314
GF_00017,64,64,61,3,17,0.953125
GF_00018,75,75,73,2,17,0.9733333333333334
GF_00019,43,40,43,0,7,1.0
GF_00020,77,77,75,2,18,0.974025974025974
GF_00021,51,51,50,1,12,0.9803921568627451
GF_00022,58,58,57,1,15,0.9827586206896551
GF_00023,49,47,46,3,14,0.9387755102040817
GF_00024,81,81,79,2,18,0.9753086419753086
GF_00025,49,49,48,1,11,0.9795918367346939
GF_00026,46,46,45,1,10,0.9782608695652174
GF_00027,78,78,76,2,17,0.9743589743589743
GF_00028,115,115,83,32,24,0.7217391304347827
GF_00029,44,44,43,1,9,0.9772727272727273
GF_00030,59,59,57,2,13,0.9661016949152542
GF_00031,48,48,47,1,11,0.9791666666666666
GF_00032,73,73,70,3,18,0.958904109589041
GF_00033,74,74,72,2,16,0.972972972972973
GF_00034,166,166,108,58,51,0.6506024096385542
GF_00035,66,64,64,2,15,0.9696969696969697
GF_00036,139,139,101,38,41,0.7266187050359713
GF_00037,59,59,58,1,13,0.9830508474576272
GF_00038,54,54,53,1,13,0.9814814814814815
GF_00039,66,66,64,2,14,0.9696969696969697
GF_00040,108,108,91,17,31,0.8425925925925926
GF_00041,80,80,78,2,19,0.975
GF_00042,54,54,54,0,14,1.0
GF_00043,84,84,82,2,19,0.9761904761904762
GF_00044,59,59,58,1,15,0.9830508474576272
GF_00045,59,59,58,1,13,0.9830508474576272
GF_00046,83,83,81,2,19,0.9759036144578314
GF_00047,47,47,45,2,14,0.9574468085106383
GF_00048,72,72,70,2,15,0.9722222222222222
GF_00049,88,88,84,4,23,0.9545454545454546
GF_00050,58,58,57,1,16,0.9827586206896551
GF_00051,87,87,83,4,22,0.9540229885057471
GF_00052,53,53,37,16,10,0.6981132075471698
GF_00053,52,52,52,0,11,1.0
GF_00054,82,82,80,2,18,0.975609756097561
GF_00055,67,67,65,2,15,0.9701492537313433
GF_00056,83,83,79,4,21,0.9518072289156626
GF_00057,66,66,63,3,21,0.9545454545454546
GF_00058,73,73,64,9,20,0.8767123287671232
GF_00059,62,62,60,2,16,0.967741935483871
GF_00060,71,71,69,2,16,0.971830985915493
GF_00061,41,41,40,1,7,0.975609756097561
GF_00062,58,58,57,1,14,0.9827586206896551
GF_00063,43,43,41,2,13,0.9534883720930233
GF_00064,41,41,39,2,11,0.9512195121951219
GF_00065,53,53,52,1,16,0.9811320754716981
GF_00066,140,140,96,44,44,0.6857142857142857
GF_00067,61,61,59,2,12,0.9672131147540983
GF_00068,56,56,54,2,13,0.9642857142857143
GF_00069,52,52,51,1,10,0.9807692307692307
GF_00070,43,43,42,1,12,0.9767441860465116
GF_00071,158,158,106,52,46,0.6708860759493671
GF_00072,84,84,81,3,22,0.9642857142857143
GF_00073,65,65,61,4,17,0.9384615384615385
GF_00074,105,105,89,16,33,0.8476190476190476
GF_00075,45,45,43,2,11,0.9555555555555556
GF_00076,56,56,55,1,16,0.9821428571428571
GF_00077,80,80,67,13,20,0.8375
GF_00078,41,41,40,1,12,0.975609756097561
GF_00079,291,291,127,164,75,0.436426116838488
GF_00080,84,84,82,2,19,0.9761904761904762
GF_00081,96,96,87,9,26,0.90625
GF_00082,56,56,54,2,10,0.9642857142857143
GF_00083,80,80,78,2,19,0.975
GF_00084,43,43,41,2,9,0.9534883720930233
GF_00085,59,59,58,1,12,0.9830508474576272
GF_00086,83,83,80,3,20,0.963855421686747
GF_00087,73,73,71,2,18,0.9726027397260274
GF_00088,56,56,54,2,11,0.9642857142857143
GF_00089,69,69,67,2,15,0.9710144927536232
GF_00090,70,70,68,2,15,0.9714285714285714
GF_00091,50,46,49,1,10,0.98
GF_00092,41,41,37,4,16,0.9024390243902439
GF_00093,76,76,73,3,19,0.9605263157894737
GF_00094,68,68,66,2,17,0.9705882352941176
GF_00095,76,75,74,2,16,0.9736842105263158
GF_00096,76,76,72,4,18,0.9473684210526315
GF_00097,70,69,68,2,17,0.9714285714285714
GF_00098,85,85,81,4,22,0.9529411764705882
GF_00099,49,49,26,23,19,0.5306122448979592
GF_00100,70,70,68,2,16,0.9714285714285714
GF_00101,70,70,68,2,16,0.9714285714285714
GF_00102,42,42,41,1,8,0.9761904761904762
GF_00103,204,204,112,92,56,0.5490196078431373
GF_00104,289,289,127,162,72,0.43944636678200694
GF_00105,165,165,22,143,36,0.13333333333333333
GF_00106,40,40,5,35,6,0.125
GF_00107,41,41,5,36,7,0.12195121951219512
GF_00108,138,138,92,46,32,0.6666666666666666
GF_00109,43,43,2,41,4,0.046511627906976744
GF_00110,44,44,44,0,13,1.0
GF_00111,54,54,53,1,12,0.9814814814814815
GF_00112,168,168,107,61,50,0.6369047619047619
GF_00113,78,78,76,2,18,0.9743589743589743
