assembly_accession,nifH_present,nifH_best_evalue,nifH_best_ref,nifD_present,nifD_best_evalue,nifD_best_ref,nifK_present,nifK_best_evalue,nifK_best_ref,best_hit_ids,download_ok,nifHDK_core_call,organism_name,assembly_level,number_of_contigs,contig_n50,number_of_scaffolds,scaffold_n50,total_ungapped_length,gc_percent,coverage,annotation_name,annotation_date,checkm_completeness,checkm_contamination,genome_notes,derived_from_metagenome,annotation_fails_MAG_check,checkm_version,checkm_source,organism_full,genus,is_diazotroph
GCF_050235535.1,1.0,1.4000000000000002e-161,nifH-local_aln_i2.1_12182023,1.0,8.2e-239,nifD-local_aln_i2.1_12182023,1.0,8.299999999999999e-257,nifK-local_aln_i2.1_12182023,H=WP_427160135.1;D=WP_427160136.1;K=WP_427160147.1,1,1,"{'infraspecific_names': {'strain': 'HNIBRCY26'}, 'organism_name': 'Aliinostoc sp. HNIBRCY26', 'tax_id': 3418997}",Complete Genome,1,7128814,1,7128814,7128814,41.0,1.0,GCF_050235535.1-RS_2025_05_08,,100.0,0.57,,0,0,v1.2.3,structured,Aliinostoc sp. HNIBRCY26,Aliinostoc,True
GCF_000317515.1,1.0,1.8e-161,nifH-local_aln_i2.1_12182023,1.0,1.3999999999999998e-256,nifD-local_aln_i2.1_12182023,1.0,5.5999999999999994e-245,nifK-local_aln_i2.1_12182023,H=WP_015181338.1;D=WP_015181337.1;K=WP_015181336.1,1,1,"{'infraspecific_names': {'strain': 'PCC 7113'}, 'organism_name': 'Allocoleopsis franciscana PCC 7113', 'tax_id': 1173027}",Complete Genome,9,7470429,9,7470429,7966510,46.0,30.0,GCF_000317515.1-RS_2024_10_11,,100.0,0.41,,0,0,v1.2.3,structured,Allocoleopsis franciscana PCC 7113,Allocoleopsis,True
GCF_001548095.1,1.0,2.2e-49,nifH-local_aln_i2.1_12182023,1.0,3.1e-10,nifD-local_aln_i2.1_12182023,1.0,7.5e-07,nifK-local_aln_i2.1_12182023,H=WP_066348562.1;D=WP_066343179.1;K=WP_066343179.1,1,1,"{'infraspecific_names': {'strain': 'NIES-3708'}, 'organism_name': 'Geminocystis sp. NIES-3708', 'tax_id': 1615909}",Complete Genome,6,3883409,6,3883409,4042078,32.5,160.0,GCF_001548095.1-RS_2024_11_05,,100.0,0.26,,0,0,v1.2.3,structured,Geminocystis sp. NIES-3708,Geminocystis,False
GCF_000015965.1,1.0,4.999999999999999e-52,nifH-local_aln_i2.1_12182023,1.0,1.9e-10,nifD-local_aln_i2.1_12182023,1.0,9.4e-08,nifK-local_aln_i2.1_12182023,H=WP_011862562.1;D=WP_011862563.1;K=WP_011862563.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9301'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9301', 'tax_id': 167546}",Complete Genome,1,1641879,1,1641879,1641879,31.5,,GCF_000015965.1-RS_2025_05_23,,100.0,0.08,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 9301,Prochlorococcus,False
GCF_047947085.1,1.0,3.8999999999999997e-53,nifH-local_aln_i2.1_12182023,1.0,6.6e-10,nifD-local_aln_i2.1_12182023,1.0,5.5e-07,nifK-local_aln_i2.1_12182023,H=WP_002805445.1;D=WP_032526846.1;K=WP_032526846.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9302'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9302', 'tax_id': 74545}",Complete Genome,1,1743611,1,1743611,1743611,31.0,1.0,GCF_047947085.1-RS_2025_02_25,,100.0,,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 9302,Prochlorococcus,False
GCF_000012645.1,1.0,7.099999999999999e-53,nifH-local_aln_i2.1_12182023,1.0,1.4e-09,nifD-local_aln_i2.1_12182023,1.0,1.1e-06,nifK-local_aln_i2.1_12182023,H=WP_011376102.1;D=WP_011376103.1;K=WP_011376103.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9312'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9312', 'tax_id': 74546}",Complete Genome,1,1709204,1,1709204,1709204,31.0,1.0,GCF_000012645.1-RS_2025_01_27,,100.0,,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 9312,Prochlorococcus,False
GCF_034093315.1,1.0,3.8e-53,nifH-local_aln_i2.1_12182023,1.0,2.7e-12,nifD-local_aln_i2.1_12182023,1.0,4.2e-07,nifK-local_aln_i2.1_12182023,H=WP_320681577.1;D=WP_320681578.1;K=WP_320681578.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1314'}, 'organism_name': 'Prochlorococcus sp. MIT 1314', 'tax_id': 3096220}",Complete Genome,1,1704447,1,1704447,1704447,31.0,73.0,GCF_034093315.1-RS_2025_02_07,,99.96,0.22,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 1314,Prochlorococcus,False
GCF_000018065.1,1.0,3.8999999999999997e-53,nifH-local_aln_i2.1_12182023,1.0,3.1e-10,nifD-local_aln_i2.1_12182023,1.0,7e-08,nifK-local_aln_i2.1_12182023,H=WP_002805445.1;D=WP_012007365.1;K=WP_012007365.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9215'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9215', 'tax_id': 93060}",Complete Genome,1,1738790,1,1738790,1738790,31.0,,GCF_000018065.1-RS_2025_05_22,,99.95,,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 9215,Prochlorococcus,False
GCF_027359525.1,1.0,9.699999999999999e-54,nifH-local_aln_i2.1_12182023,1.0,8.3e-10,nifD-local_aln_i2.1_12182023,1.0,6.3e-10,nifK-local_aln_i2.1_12182023,H=WP_269612474.1;D=WP_269612476.1;K=WP_269612476.1,1,1,"{'infraspecific_names': {'strain': 'MIT 0913'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0913', 'tax_id': 1570010}",Complete Genome,1,1877877,1,1877877,1877877,35.0,200.0,GCF_027359525.1-RS_2025_03_18,,99.92,0.22,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 0913,Prochlorococcus,False
GCF_027359355.1,1.0,1e-53,nifH-local_aln_i2.1_12182023,1.0,2.6e-08,nifD-local_aln_i2.1_12182023,1.0,3.8e-09,nifK-local_aln_i2.1_12182023,H=WP_269624466.1;D=WP_269624469.1;K=WP_269624469.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1214'}, 'organism_name': 'Prochlorococcus marinus str. MIT 1214', 'tax_id': 3015000}",Complete Genome,1,1934849,1,1934849,1934849,35.0,200.0,GCF_027359355.1-RS_2025_03_18,,99.92,0.13,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 1214,Prochlorococcus,False
