gene_family,signed_importance,importance,direction,effect_size,p_value,presence_rate,n_genomes_with_feature,diaz_rate_present,diaz_rate_absent,target,acc,pident,evalue,GeneName,ProteinName,EC,GO
GF_01961,0.2383567911174483,0.2383567911174483,Positive,0.8035650623885918,1.5089421625809978e-60,0.2650334075723831,119,0.8823529411764706,0.0787878787878787,B2J6U9,B2J6U9,88.5,2.7579999999999998e-139,rs2,RS2_NOSP7,,GO:0003735;GO:0006412;GO:0022627
GF_01199,0.1228256774520512,0.1228256774520512,Positive,0.6867502726281353,2.011525678267268e-25,0.12472160356347439,56,0.8928571428571429,0.2061068702290076,Q57716,Q57716,44.5,2.09e-06,pord,PORD_METJA,,GO:0016625;GO:0046872;GO:0051539
GF_00387,0.1080930789629805,0.1080930789629805,Positive,0.7515115556308979,5.478933528574986e-48,0.22717149220489977,102,0.8725490196078431,0.1210374639769452,P50676,P50676,60.9,2.476e-197,cox1,COX1_THEVL,,GO:0004129;GO:0005886;GO:0006119;GO:0015990;GO:0020037;GO:0022904;GO:0046872
GF_01658,0.0968688312217094,0.0968688312217094,Positive,0.6064006650041563,1.0689015008045809e-17,0.10690423162583519,48,0.8333333333333334,0.226932668329177,P55438,P55438,48.2,1.329e-06,y4eo,Y4EO_SINFN,,
GF_01071,0.0964797585703531,0.0964797585703531,Positive,0.3007653555512498,1.5309233969989557e-05,0.11581291759465479,52,0.5576923076923077,0.2569269521410579,P65078,P65078,41.5,0.0006049,y3441,Y3441_MYCBO,,GO:0097351
GF_02403,0.0950823421065776,0.0950823421065776,Positive,0.6472098596371105,2.269336347861126e-41,0.2828507795100223,127,0.7559055118110236,0.108695652173913,B2JA13,B2JA13,89.8,3.683e-34,psbh,PSBH_NOSP7,,GO:0009523;GO:0015979;GO:0031676;GO:0042301;GO:0050821
GF_01253,0.0934047693981684,0.0934047693981684,Positive,0.1556109514956903,0.0196013194820747,0.1358574610244989,61,0.4262295081967213,0.2706185567010309,P55438,P55438,38.4,0.0003201,y4eo,Y4EO_SINFN,,
GF_02459,0.0907859963068531,0.0907859963068531,Positive,0.306796833064949,8.135451722656584e-08,0.18040089086859687,81,0.5432098765432098,0.2364130434782608,P55438,P55438,41.5,2.563e-05,y4eo,Y4EO_SINFN,,
GF_00876,0.0844562044200984,0.0844562044200984,Positive,0.6484598285169896,1.0445029651992085e-19,0.10467706013363029,47,0.8723404255319149,0.2238805970149253,,,,,,,,
GF_01245,0.0811910311886333,0.0811910311886333,Positive,0.6611046646553724,2.3108290420239722e-45,0.30957683741648107,139,0.7482014388489209,0.0870967741935483,B2ITQ2,B2ITQ2,92.2,9.461e-179,rl2,RL2_NOSP7,,GO:0003735;GO:0006412;GO:0015934;GO:0016740;GO:0019843
GF_01635,0.0784621304692387,0.0784621304692387,Positive,0.577856106157993,7.62547237215829e-24,0.17371937639198218,78,0.7692307692307693,0.1913746630727762,Q50862,Q50862,33.3,7.166e-27,rfba,RFBA_MYXXA,,GO:0005886;GO:0015774;GO:0015920;GO:0140359
