assembly_accession,nifH_present,nifH_best_evalue,nifH_best_ref,nifD_present,nifD_best_evalue,nifD_best_ref,nifK_present,nifK_best_evalue,nifK_best_ref,best_hit_ids,download_ok,nifHDK_core_call,organism_name,assembly_level,number_of_contigs,contig_n50,number_of_scaffolds,scaffold_n50,total_ungapped_length,gc_percent,coverage,annotation_name,annotation_date,checkm_completeness,checkm_contamination,genome_notes,derived_from_metagenome,annotation_fails_MAG_check,checkm_version,checkm_source
GCF_035615515.1,1,3.40E-148,nifH-local_aln_i2.1_12182023,1,2.60E-210,nifD-local_aln_i2.1_12182023,1,2.10E-185,nifK-local_aln_i2.1_12182023,H=WP_324630203.1;D=WP_324630198.1;K=WP_324630197.1,1,1,"{'infraspecific_names': {'strain': 'CCY1219'}, 'organism_name': 'Phormidium sp. CCY1219', 'tax_id': 2886104}",Contig,977,26529,977,26529,7535552,50.5,233,GCF_035615515.1-RS_2025_08_25,,100,1.77,,0,0,v1.2.4,structured
GCF_034932265.1,1,2.10E-154,nifH-local_aln_i2.1_12182023,1,3.30E-257,nifD-local_aln_i2.1_12182023,1,1.40E-242,nifK-local_aln_i2.1_12182023,H=WP_323217561.1;D=WP_323217560.1;K=WP_323217559.1,1,1,"{'infraspecific_names': {'strain': 'CCNP 1315'}, 'organism_name': 'Limnoraphis robusta CCNP1315', 'tax_id': 3110306}",Scaffold,254,68829,248,71592,7380802,42,41,GCF_034932265.1-RS_2025_03_15,,100,1.77,,0,0,v1.2.3,structured
GCF_034932405.1,1,2.10E-154,nifH-local_aln_i2.1_12182023,1,3.30E-257,nifD-local_aln_i2.1_12182023,1,1.40E-242,nifK-local_aln_i2.1_12182023,H=WP_323217561.1;D=WP_323217560.1;K=WP_323217559.1,1,1,"{'infraspecific_names': {'strain': 'CCNP 1324'}, 'organism_name': 'Limnoraphis robusta CCNP1324', 'tax_id': 3110307}",Contig,300,59693,300,59693,7288668,42,54,GCF_034932405.1-RS_2025_01_02,,100,1.33,,0,0,v1.2.3,structured
GCF_049958775.1,1,8.60E-162,nifH-local_aln_i2.1_12182023,1,3.70E-256,nifD-local_aln_i2.1_12182023,1,1.80E-248,nifK-local_aln_i2.1_12182023,H=WP_061544850.1;D=WP_061544851.1;K=WP_168729842.1,1,1,"{'infraspecific_names': {'isolate': 'LT_0923'}, 'organism_name': 'Cylindrospermopsis raciborskii', 'tax_id': 77022}",Contig,87,139068,87,139068,3455381,40,655,GCF_049958775.1-RS_2025_06_01,,100,0.71,,0,0,v1.2.3,structured
GCF_050235535.1,1,1.40E-161,nifH-local_aln_i2.1_12182023,1,8.20E-239,nifD-local_aln_i2.1_12182023,1,8.30E-257,nifK-local_aln_i2.1_12182023,H=WP_427160135.1;D=WP_427160136.1;K=WP_427160147.1,1,1,"{'infraspecific_names': {'strain': 'HNIBRCY26'}, 'organism_name': 'Aliinostoc sp. HNIBRCY26', 'tax_id': 3418997}",Complete Genome,1,7128814,1,7128814,7128814,41,1,GCF_050235535.1-RS_2025_05_08,,100,0.57,,0,0,v1.2.3,structured
GCF_000317515.1,1,1.80E-161,nifH-local_aln_i2.1_12182023,1,1.40E-256,nifD-local_aln_i2.1_12182023,1,5.60E-245,nifK-local_aln_i2.1_12182023,H=WP_015181338.1;D=WP_015181337.1;K=WP_015181336.1,1,1,"{'infraspecific_names': {'strain': 'PCC 7113'}, 'organism_name': 'Allocoleopsis franciscana PCC 7113', 'tax_id': 1173027}",Complete Genome,9,7470429,9,7470429,7966510,46,30,GCF_000317515.1-RS_2024_10_11,,100,0.41,,0,0,v1.2.3,structured
GCF_017696055.1,1,7.10E-53,nifH-local_aln_i2.1_12182023,1,2.20E-10,nifD-local_aln_i2.1_12182023,1,1.50E-07,nifK-local_aln_i2.1_12182023,H=WP_011818051.1;D=WP_209112838.1;K=WP_209112838.1,1,1,"{'infraspecific_names': {'strain': 'XMU1406'}, 'organism_name': 'Prochlorococcus marinus XMU1406', 'tax_id': 2716481}",Contig,3,1019189,3,1019189,1651015,31.5,200,GCF_017696055.1-RS_2025_06_10,,100,0.31,,0,0,v1.2.3,structured
GCF_001548095.1,1,2.20E-49,nifH-local_aln_i2.1_12182023,1,3.10E-10,nifD-local_aln_i2.1_12182023,1,7.50E-07,nifK-local_aln_i2.1_12182023,H=WP_066348562.1;D=WP_066343179.1;K=WP_066343179.1,1,1,"{'infraspecific_names': {'strain': 'NIES-3708'}, 'organism_name': 'Geminocystis sp. NIES-3708', 'tax_id': 1615909}",Complete Genome,6,3883409,6,3883409,4042078,32.5,160,GCF_001548095.1-RS_2024_11_05,,100,0.26,,0,0,v1.2.3,structured
GCF_034932365.1,1,2.10E-154,nifH-local_aln_i2.1_12182023,1,3.30E-257,nifD-local_aln_i2.1_12182023,1,1.40E-242,nifK-local_aln_i2.1_12182023,H=WP_323217561.1;D=WP_323217560.1;K=WP_323217559.1,1,1,"{'infraspecific_names': {'strain': 'BA-68 BA1'}, 'organism_name': 'Limnoraphis robusta BA-68 BA1', 'tax_id': 3110303}",Scaffold,150,89168,127,99649,7257894,42,23,GCF_034932365.1-RS_2024_12_09,,100,0.24,,0,0,v1.2.3,structured
GCF_000015965.1,1,5.00E-52,nifH-local_aln_i2.1_12182023,1,1.90E-10,nifD-local_aln_i2.1_12182023,1,9.40E-08,nifK-local_aln_i2.1_12182023,H=WP_011862562.1;D=WP_011862563.1;K=WP_011862563.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9301'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9301', 'tax_id': 167546}",Complete Genome,1,1641879,1,1641879,1641879,31.5,,GCF_000015965.1-RS_2025_05_23,,100,0.08,,0,0,v1.2.3,structured
