GO,pos_hits,term_size,p,q,direction,name,namespace,compartment,label
GO:0006508,14,14,0.009821598164608026,0.9845893283417219,Positive,GO:0006508,,other,GO:0006508
GO:0043190,7,7,0.10068817583835078,0.9845893283417219,Positive,GO:0043190,,other,GO:0043190
GO:0009507,21,25,0.12925647795518228,0.9845893283417219,Positive,GO:0009507,,other,GO:0009507
GO:0032259,6,6,0.14003757789012006,0.9845893283417219,Positive,GO:0032259,,other,GO:0032259
GO:0000160,6,6,0.14003757789012006,0.9845893283417219,Positive,GO:0000160,,other,GO:0000160
GO:0030163,6,6,0.14003757789012006,0.9845893283417219,Positive,GO:0030163,,other,GO:0030163
GO:0015935,10,11,0.14273525332944859,0.9845893283417219,Positive,GO:0015935,,other,GO:0015935
GO:0051539,30,37,0.14415392623455325,0.9845893283417219,Positive,GO:0051539,,other,GO:0051539
GO:0008270,23,28,0.16138608285647574,0.9845893283417219,Positive,GO:0008270,,other,GO:0008270
GO:0008168,5,5,0.19463938578305678,0.9845893283417219,Positive,GO:0008168,,other,GO:0008168
GO:0006783,5,5,0.19463938578305678,0.9845893283417219,Positive,GO:0006783,,other,GO:0006783
GO:0004124,5,5,0.19463938578305678,0.9845893283417219,Positive,GO:0004124,,other,GO:0004124
GO:0048038,11,13,0.2511186449012158,0.9845893283417219,Positive,GO:0048038,,other,GO:0048038
GO:0019684,11,13,0.2511186449012158,0.9845893283417219,Positive,GO:0019684,,other,GO:0019684
GO:0006355,11,13,0.2511186449012158,0.9845893283417219,Positive,GO:0006355,,other,GO:0006355
GO:0000287,26,33,0.25600637463150794,0.9845893283417219,Positive,GO:0000287,,other,GO:0000287
GO:0003677,23,29,0.25833931555381034,0.9845893283417219,Positive,GO:0003677,,other,GO:0003677
GO:0043419,4,4,0.2703572246460308,0.9845893283417219,Positive,GO:0043419,,other,GO:0043419
GO:0031419,4,4,0.2703572246460308,0.9845893283417219,Positive,GO:0031419,,other,GO:0031419
GO:0019685,4,4,0.2703572246460308,0.9845893283417219,Positive,GO:0019685,,other,GO:0019685
GO:0016636,4,4,0.2703572246460308,0.9845893283417219,Positive,GO:0016636,,other,GO:0016636
GO:0008379,4,4,0.2703572246460308,0.9845893283417219,Positive,GO:0008379,,other,GO:0008379
GO:0051538,4,4,0.2703572246460308,0.9845893283417219,Positive,GO:0051538,,other,GO:0051538
GO:0006535,4,4,0.2703572246460308,0.9845893283417219,Positive,GO:0006535,,other,GO:0006535
GO:0005829,70,93,0.2781729542248087,0.9845893283417219,Positive,GO:0005829,,other,GO:0005829
GO:0019843,22,28,0.296287597564223,0.9845893283417219,Positive,GO:0019843,,other,GO:0019843
GO:0000049,10,12,0.30610126125971676,0.9845893283417219,Positive,GO:0000049,,other,GO:0000049
GO:0016887,33,43,0.3088547777904785,0.9845893283417219,Positive,GO:0016887,,other,GO:0016887
GO:0030170,9,11,0.3696324865659322,0.9845893283417219,Positive,GO:0030170,,other,GO:0030170
GO:0055085,3,3,0.37529039402919345,0.9845893283417219,Positive,GO:0055085,,other,GO:0055085
GO:0030497,3,3,0.37529039402919345,0.9845893283417219,Positive,GO:0030497,,other,GO:0030497
GO:0006183,3,3,0.37529039402919345,0.9845893283417219,Positive,GO:0006183,,other,GO:0006183
GO:0006189,3,3,0.37529039402919345,0.9845893283417219,Positive,GO:0006189,,other,GO:0006189
