gene_family,representative,num_genomes
GF_00000,GCA_003609755.1|BBD53839.1,119
GF_00001,GCA_003990705.1|BBD57339.1,99
GF_00002,GCA_003990705.1|BBD57591.1,53
GF_00003,GCA_003990705.1|BBD57627.1,88
GF_00004,GCA_003990705.1|BBD58024.1,41
GF_00005,GCA_003990705.1|BBD58299.1,44
GF_00006,GCA_003990705.1|BBD58802.1,46
GF_00007,GCA_003990705.1|BBD59045.1,59
GF_00008,GCA_003990705.1|BBD59151.1,69
GF_00009,GCA_003990705.1|BBD59187.1,66
GF_00010,GCA_003990705.1|BBD59233.1,86
GF_00011,GCA_003990705.1|BBD59471.1,108
GF_00012,GCA_003990705.1|BBD59549.1,42
GF_00013,GCA_003990705.1|BBD59579.1,63
GF_00014,GCA_003990705.1|BBD59610.1,47
GF_00015,GCA_003990705.1|BBD59655.1,50
GF_00016,GCA_003990705.1|BBD59679.1,83
GF_00017,GCA_003990705.1|BBD59932.1,64
GF_00018,GCA_003990705.1|BBD59962.1,75
GF_00019,GCA_003990705.1|BBD60005.1,40
GF_00020,GCA_003990705.1|BBD60400.1,77
GF_00021,GCA_003990705.1|BBD60425.1,51
GF_00022,GCA_003990705.1|BBD60633.1,58
GF_00023,GCA_003990705.1|BBD61109.1,47
GF_00024,GCA_003990705.1|BBD61154.1,81
GF_00025,GCA_003990705.1|BBD61394.1,49
GF_00026,GCA_003990705.1|BBD61488.1,46
GF_00027,GCA_003990705.1|BBD61648.1,78
GF_00028,GCA_003990705.1|BBD61706.1,115
GF_00029,GCA_003990705.1|BBD61810.1,44
GF_00030,GCA_003990705.1|BBD61944.1,59
GF_00031,GCA_003990705.1|BBD62087.1,48
GF_00032,GCA_003990705.1|BBD62135.1,73
GF_00033,GCA_003990705.1|BBD62295.1,74
GF_00034,GCA_003990705.1|BBD62364.1,166
GF_00035,GCA_003990705.1|BBD62488.1,64
GF_00036,GCA_004296455.1|BAZ37187.1,139
GF_00037,GCA_004296455.1|BAZ37305.1,59
GF_00038,GCA_004296455.1|BAZ37307.1,54
GF_00039,GCA_004296455.1|BAZ37380.1,66
GF_00040,GCA_004296455.1|BAZ37423.1,108
GF_00041,GCA_004296455.1|BAZ38043.1,80
GF_00042,GCA_004296455.1|BAZ38259.1,54
GF_00043,GCA_004296455.1|BAZ38489.1,84
GF_00044,GCA_004296455.1|BAZ38495.1,59
GF_00045,GCA_004296455.1|BAZ38645.1,59
GF_00046,GCA_004296455.1|BAZ38827.1,83
GF_00047,GCA_004296455.1|BAZ38996.1,47
GF_00048,GCA_004296455.1|BAZ39083.1,72
GF_00049,GCA_004296455.1|BAZ39518.1,88
GF_00050,GCA_004296455.1|BAZ39575.1,58
GF_00051,GCA_004296455.1|BAZ39989.1,87
GF_00052,GCA_004296455.1|BAZ40007.1,53
GF_00053,GCA_004296455.1|BAZ40077.1,52
GF_00054,GCA_004296455.1|BAZ41137.1,82
GF_00055,GCA_004296455.1|BAZ41317.1,67
GF_00056,GCA_004296455.1|BAZ41711.1,83
GF_00057,GCA_004296455.1|BAZ41915.1,66
GF_00058,GCA_004296455.1|BAZ41923.1,73
GF_00059,GCA_004296455.1|BAZ41993.1,62
GF_00060,GCA_004296455.1|BAZ42715.1,71
GF_00061,GCA_004296455.1|BAZ42734.1,41
GF_00062,GCA_004296455.1|BAZ42882.1,58
GF_00063,GCA_004296455.1|BAZ42957.1,43
GF_00064,GCA_017346795.1|QSV53864.1,41
GF_00065,GCA_017346795.1|QSV54120.1,53
GF_00066,GCA_017346795.1|QSV54408.1,140
GF_00067,GCA_017346795.1|QSV54442.1,61
GF_00068,GCA_017346815.1|QSV57556.1,56
GF_00069,GCA_017346815.1|QSV58750.1,52
GF_00070,GCA_017346835.1|QSV62522.1,43
GF_00071,GCA_017346835.1|QSV64389.1,158
GF_00072,GCA_017346835.1|QSV65182.1,84
GF_00073,GCA_017346835.1|QSV65464.1,65
GF_00074,GCA_017346855.1|QSV65915.1,105
GF_00075,GCA_017346855.1|QSV66389.1,45
GF_00076,GCA_017346855.1|QSV66432.1,56
GF_00077,GCA_017346855.1|QSV66437.1,80
GF_00078,GCA_017346855.1|QSV67036.1,41
GF_00079,GCA_017346855.1|QSV67117.1,291
GF_00080,GCA_017346855.1|QSV67215.1,84
GF_00081,GCA_017346855.1|QSV67242.1,96
GF_00082,GCA_017346855.1|QSV67273.1,56
GF_00083,GCA_017346855.1|QSV67438.1,80
GF_00084,GCA_017346855.1|QSV68673.1,43
GF_00085,GCA_017346855.1|QSV68753.1,59
GF_00086,GCA_017346855.1|QSV68888.1,83
GF_00087,GCA_017346855.1|QSV68991.1,73
GF_00088,GCA_017346855.1|QSV69087.1,56
GF_00089,GCA_017346875.1|QSV70137.1,69
GF_00090,GCA_017346875.1|QSV71005.1,70
GF_00091,GCA_017346875.1|QSV71193.1,46
GF_00092,GCA_017346875.1|QSV72506.1,41
GF_00093,GCA_017346875.1|QSV73814.1,76
GF_00094,GCA_017346875.1|QSV74101.1,68
GF_00095,GCA_017355425.1|QSX66081.1,75
GF_00096,GCA_017355425.1|QSX66560.1,76
GF_00097,GCA_017355425.1|QSX67168.1,69
GF_00098,GCA_017355425.1|QSX68600.1,85
GF_00099,GCA_017355425.1|QSX68864.1,49
GF_00100,GCA_017355425.1|QSX70092.1,70
GF_00101,GCA_017355425.1|QSX70340.1,70
GF_00102,GCA_017355425.1|QSX70349.1,42
GF_00103,GCA_020386575.1|UCJ11286.1,204
GF_00104,GCA_020386575.1|UCJ11319.1,289
GF_00105,GCA_020386575.1|UCJ14349.1,165
GF_00106,GCA_025370055.1|UXE59065.1,40
GF_00107,GCA_025370055.1|UXE59950.1,41
GF_00108,GCA_025370055.1|UXE60102.1,138
GF_00109,GCA_025370055.1|UXE62326.1,43
GF_00110,GCA_025999015.1|BCX06250.1,44
GF_00111,GCA_025999015.1|BCX06714.1,54
GF_00112,GCA_025999015.1|BCX06765.1,168
GF_00113,GCA_025999015.1|BCX07087.1,78
GF_00114,GCA_025999015.1|BCX07108.1,445
GF_00115,GCA_025999015.1|BCX07147.1,74
GF_00116,GCA_025999015.1|BCX07162.1,60
GF_00117,GCA_025999015.1|BCX07412.1,87
GF_00118,GCA_025999015.1|BCX07569.1,93
GF_00119,GCA_025999015.1|BCX07639.1,45
GF_00120,GCA_025999015.1|BCX07756.1,99
GF_00121,GCA_025999015.1|BCX07912.1,56
GF_00122,GCA_025999015.1|BCX07965.1,66
GF_00123,GCA_025999015.1|BCX08379.1,145
GF_00124,GCA_025999015.1|BCX08394.1,97
GF_00125,GCA_025999015.1|BCX08480.1,88
GF_00126,GCA_025999015.1|BCX08933.1,59
GF_00127,GCA_025999015.1|BCX09075.1,51
GF_00128,GCA_025999015.1|BCX09097.1,49
GF_00129,GCA_025999015.1|BCX09162.1,71
GF_00130,GCA_025999015.1|BCX09285.1,56
GF_00131,GCA_025999015.1|BCX09407.1,85
GF_00132,GCA_025999015.1|BCX09588.1,54
GF_00133,GCA_025999015.1|BCX09633.1,70
GF_00134,GCA_025999015.1|BCX09648.1,63
GF_00135,GCA_025999015.1|BCX09698.1,77
GF_00136,GCA_025999015.1|BCX09711.1,129
GF_00137,GCA_025999015.1|BCX09865.1,119
GF_00138,GCA_025999015.1|BCX10017.1,84
GF_00139,GCA_025999015.1|BCX10376.1,79
GF_00140,GCA_025999015.1|BCX10460.1,89
GF_00141,GCA_025999015.1|BCX10625.1,86
GF_00142,GCA_025999015.1|BCX10653.1,80
GF_00143,GCA_025999015.1|BCX10766.1,119
GF_00144,GCA_025999015.1|BCX10967.1,87
GF_00145,GCA_026000695.1|BDT12784.1,108
GF_00146,GCA_026000695.1|BDT12814.1,41
GF_00147,GCA_026000695.1|BDT13177.1,232
GF_00148,GCA_026000695.1|BDT13778.1,122
GF_00149,GCA_026000695.1|BDT14239.1,139
GF_00150,GCA_026000695.1|BDT15651.1,177
GF_00151,GCA_038087005.1|WYL93128.1,63
GF_00152,GCA_038087005.1|WYL94081.1,44
GF_00153,GCA_038087005.1|WYL94370.1,78
GF_00154,GCA_038087005.1|WYL94697.1,56
GF_00155,GCA_038087005.1|WYL95220.1,98
GF_00156,GCA_038087005.1|WYL95630.1,42
GF_00157,GCA_038087005.1|WYL95661.1,44
GF_00158,GCA_038087005.1|WYL96498.1,47
GF_00159,GCA_038087005.1|WYL97218.1,43
GF_00160,GCA_038087005.1|WZI66570.1,44
GF_00161,GCA_038087035.1|WYL98149.1,71
GF_00162,GCA_038087035.1|WYL98800.1,70
GF_00163,GCA_038087035.1|WYL98828.1,84
GF_00164,GCA_038087035.1|WYL99937.1,78
GF_00165,GCA_038087035.1|WYM01026.1,46
GF_00166,GCA_038087035.1|WYM02036.1,49
GF_00167,GCA_038087035.1|WYM02961.1,48
GF_00168,GCA_038087035.1|WYM03549.2,47
GF_00169,GCA_038087035.1|WYM03574.2,53
GF_00170,GCA_041530395.1|XFA73780.1,41
GF_00171,GCA_041937185.1|XGV94620.1,91
GF_00172,GCA_041937185.1|XGV94842.1,82
GF_00173,GCA_041937185.1|XGV95198.1,154
GF_00174,GCA_041937185.1|XGV95272.1,108
GF_00175,GCA_041937185.1|XGV96159.1,59
GF_00176,GCA_041937185.1|XGV96475.1,108
GF_00177,GCA_041937185.1|XGV98392.1,175
GF_00178,GCA_041937185.1|XGV98489.1,217
GF_00179,GCA_041937185.1|XGV98647.1,91
GF_00180,GCA_041937185.1|XGV99307.1,103
GF_00181,GCA_041937185.1|XGW00650.1,43
GF_00182,GCA_042083005.1|XDE64677.1,43
GF_00183,GCA_042465645.1|XHL94616.1,61
GF_00184,GCA_042465645.1|XHL96457.1,134
GF_00185,GCA_042465645.1|XHL97907.1,62
GF_00186,GCA_042465645.1|XHL98589.1,74
GF_00187,GCA_042465645.1|XHL99244.1,145
GF_00188,GCA_042692285.1|XHR80309.1,86
GF_00189,GCA_042692285.1|XHR80416.1,72
GF_00190,GCA_042692285.1|XHR80940.1,56
GF_00191,GCA_042692285.1|XHR81929.1,70
GF_00192,GCA_042692285.1|XHR82324.1,40
GF_00193,GCA_042692285.1|XHR82521.1,43
GF_00194,GCA_042692285.1|XHR82714.1,63
GF_00195,GCA_042692285.1|XHR83092.1,64
GF_00196,GCA_042692285.1|XHR83641.1,247
GF_00197,GCA_042692285.1|XHR84071.1,51
GF_00198,GCA_042692285.1|XHR85785.1,45
GF_00199,GCA_042692285.1|XHR85939.1,72
GF_00200,GCA_045159875.1|XHU95311.1,53
GF_00201,GCA_045159875.1|XHU95757.1,59
GF_00202,GCA_050884905.1|XVE08125.1,55
GF_00203,GCA_050884905.1|XVE10775.1,63
GF_00204,GCA_050884905.1|XVE11048.1,70
GF_00205,GCA_050884905.1|XVE12117.1,45
GF_00206,GCA_050884905.1|XVE12140.1,115
GF_00207,GCA_051013385.1|XWK85932.1,448
GF_00208,GCA_051013385.1|XWK86783.1,100
GF_00209,GCA_051013385.1|XWK86954.1,54
GF_00210,GCA_051013385.1|XWK86959.1,130
GF_00211,GCA_051013385.1|XWK87020.1,42
